14.07.2020,PPVS_4530,2
14.07.2020,CJI_87633,1
14.07.2020,LAW_354663,1
14.07.2020,QUEST_166330,1
14.07.2020,PAS_422498,1
14.07.2020,CJI_125974,1
14.07.2020,PKBO_639,2
14.07.2020,PBI_75647,1
14.07.2020,LAW_305601,1
14.07.2020,LAW_336738,1
14.07.2020,PAP_48981,1
14.07.2020,CJI_129988,1
14.07.2020,CJI_101525,1
14.07.2020,EXP_455522,1
14.07.2020,QUEST_130704,1
14.07.2020,PPVS_1882,1
14.07.2020,SOCN_869052,1
14.07.2020,PSP_10,1
14.07.2020,PAP_90992,1
14.07.2020,RLAW072_143642,1
14.07.2020,CMB_17299,1
14.07.2020,QUEST_196506,1
14.07.2020,QUEST_170149,1
14.07.2020,ARB_579644,1
14.07.2020,PBI_246804,1
14.07.2020,CMB_18530,1
14.07.2020,RLAW071_146178,1
14.07.2020,PAP_18233,2
14.07.2020,RZR_345467,1
14.07.2020,KOR_18781,1
14.07.2020,KOR_20215,1
14.07.2020,RZR_312236,1
14.07.2020,RLAW123_152254,1
14.07.2020,PBI_204556,1
14.07.2020,RZR_45687,1
14.07.2020,PBI_267191,1
14.07.2020,LAW_368209,2
14.07.2020,PBI_243689,1
14.07.2020,ARB_536608,1
14.07.2020,CJI_104333,1
14.07.2020,PBI_215833,1
14.07.2020,PBI_255702,1
14.07.2020,LAW_366968,2
14.07.2020,LAW_162293,1
14.07.2020,ARB_450252,1
14.07.2020,QUEST_178420,1
14.07.2020,PBI_245642,2
14.07.2020,ARB_527851,1
14.07.2020,PKBO_44741,1
14.07.2020,PAP_45970,1
14.07.2020,CJI_125473,1
14.07.2020,CJI_125934,1
14.07.2020,PKBO_31490,1
14.07.2020,PBI_255009,1
14.07.2020,PBI_269889,1
14.07.2020,PNPA_40149,1
14.07.2020,RZR_361165,1
14.07.2020,LAW_361049,1
14.07.2020,PPVS_3342,1
14.07.2020,CMB_18292,1
14.07.2020,PBI_266907,1
14.07.2020,PBI_124373,1
14.07.2020,PAP_11511,1
14.07.2020,PBI_236374,1
14.07.2020,QUEST_195977,3
14.07.2020,PBI_256317,1
14.07.2020,CJI_95682,1
14.07.2020,CJI_104653,1
14.07.2020,PBI_137253,1
14.07.2020,CJI_121407,1
14.07.2020,QUEST_194804,1
14.07.2020,RLAW140_142032,1
14.07.2020,CJI_82220,1
14.07.2020,PBI_257979,1
14.07.2020,QUEST_196852,1
14.07.2020,RLAW072_150000,1
14.07.2020,LAW_202071,1
14.07.2020,ARB_265,1
14.07.2020,RLAW509_52708,2
14.07.2020,EXP_364728,1
14.07.2020,PBI_260935,1
14.07.2020,CJI_105207,1
14.07.2020,OTNZ_12833,1
14.07.2020,LAW_367308,1
14.07.2020,RZR_366145,1
14.07.2020,CJI_123981,1
14.07.2020,ACC_45615,4
14.07.2020,RLAW020_148145,1
